vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_system,vmrs_subcode,vmrs_description,description_similarity,quality
120740101,MERCEDES-BENZ OF NA,"INJECTION, PUMP, REPAIR, KIT",044-014-054,44,14,Seal Kit - Fuel Injector,0.14285714285714285,LOW
12727099,ACDELCO,SENSOR,044-000-000,44,0,Fuel System,0.0,LOW
03-23669-000,FREIGHTLINER,FUEL TANK BOLT,044-001-043,44,1,"Eve Bolt - Strap, Fuel Tank",0.6,HIGH
03-25693-000,FREIGHTLINER,"LUG TENSIONER, FUEL TANK STRAP",044-001-043,44,1,"Eve Bolt - Strap, Fuel Tank",0.42857142857142855,HIGH
03-27310-000,FREIGHTLINER,"TANK, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
03-33412-780,FREIGHTLINER,ISOLATOR - FUEL TANK BAND,044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.2857142857142857,MEDIUM
03-33927-672,FREIGHTLINER,"ISOLATOR, FUEL TANK BRACKET",044-001-063,44,1,"Hardware, Mounting - Mounting Bracket, Fuel",0.3333333333333333,HIGH
03-34467-000,FREIGHTLINER,"CAP, TANK, FUEL",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.6,HIGH
03-37017-000,FREIGHTLINER,"CAP, FUEL TANK, FREIGHTLINER",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.5,HIGH
03-37017-001,FREIGHTLINER,FUEL CAP,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
03-38548-004,FREIGHTLINER,"STRAP, FUEL TANK",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
03-40538-009,DETROIT DIESEL CORP,"WATER SEPERATOR, FUEL",044-000-000,44,0,Fuel System,0.25,MEDIUM
03-40538-012,DETROIT DIESEL CORP,"ASSY, FUEL WATER SEPARATOR",044-000-000,44,0,Fuel System,0.2,MEDIUM
03-41389-000,FREIGHTLINER,"SEPERATOR, FUEL/WATER",044-002-004,44,2,,0.0,LOW
03-42746-001,FREIGHTLINER,"SERPARATOR, FUEL/WATER",044-002-004,44,2,,0.0,LOW
03-43845-000,FREIGHTLINER,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
04-27757-000,FREIGHTLINER,FILLTER CAP,044-000-000,44,0,Fuel System,0.0,LOW
04-28039-001,FREIGHTLINER,VALVE SOLENOID COOLA,044-016-005,44,16,Solenoid - Evaporative Emission Control,0.16666666666666666,MEDIUM
04-32084-000,FREIGHTLINER,DEF LINE SUCTION,044-016-008,44,16,Lines - Fuel. Evaporative Emission Control,0.0,LOW
6566310104,INTERNATIONAL,SEAL BS-10.7/16.0-ST,044-000-000,44,0,Fuel System,0.0,LOW
6783490007,INTERNATIONAL,HALLOW SCREW 6-M3360,044-000-000,44,0,Fuel System,0.0,LOW
101132DAV,"DAVCO, INC.","VALVE, CHECK, SERVICE KIT",044-002-099,44,2,"Check Valve - Fuel Line, Gasoous",0.2857142857142857,MEDIUM
102693,"DAVCO, INC.",THERMO HEATER KIT 12V,044-009-008,44,9,Heater Assembly - Fuel,0.16666666666666666,MEDIUM
103071,"DAVCO, INC.","VALVE, CHECK,  3/4X1/2",044-002-030,44,2,Drain Valve - Separator,0.14285714285714285,LOW
103100DVC,"DAVCO, INC.","COVER, FUEL/WATER SEPARATOR",044-002-012,44,2,"Bowl - Separator, Fuel/Water",0.6,HIGH
10325852,CHEVROLET MOTOR,"FUEL,PUMP,MODULE,LOCKING,RING",044-003-006,44,3,"Hardware, Mounting - Fuel Pump Assembly",0.25,MEDIUM
103528DAV,"DAVCO, INC.","HEATER, FUEL/WATER SEPARATOR",044-002-041,44,2,Heater - 12 Or 24 Volt,0.125,LOW
103594DAV,"DAVCO, INC.","HEATER, PTC 12V- 155",044-015-001,44,15,Heater Assembly - HVAC System,0.14285714285714285,LOW
1037085,TENNANT,"GASKET, RECOVERY TANK",044-001-118,44,1,Gasket - Fuel Tank,0.5,HIGH
103708DAV,"DAVCO, INC.","PREHEATER, 12V, 150W",044-002-041,44,2,Heater - 12 Or 24 Volt,0.0,LOW
103803PAC,"PACCAR, INC.","SENSOR, WATER IN FUEL",044-002-032,44,2,"Probe - Water Sensor, Bowl",0.3333333333333333,HIGH
103805DAV,"DAVCO, INC.",WATER-IN-FUEL SENSOR,044-002-020,44,2,Soal Tash Drive,0.0,LOW
10595,STANT,"CAP, FUEL, LOCKING",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.3333333333333333,HIGH
10602,STANT,"CAP, FUEL TANK",044-001-000,44,1,"Tank - Fuel, Liquid",0.5,HIGH
10819DT,O'REILLY AUTO PARTS,DIESEL FUEL CAP,044-001-000,44,1,"Tank - Fuel, Liquid",0.2,MEDIUM
10825,STANT,"CAP, FUEL",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
10840,STANT,"CAP, FUEL TANK",044-012-021,44,12,Cap - Gaseous Fuel Tank,0.75,HIGH
10840T,STANDARD,FUEL CAP,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
10841T,STANT,"CAP, FUEL",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
10R4763R,CATERPILLAR TRACTOR,INJECTOR EX63463,044-014-001,44,14,Injector Assembly - Electronic,0.25,MEDIUM
11-03503,PETERBILT MOTORS CO,"BRACKET, FUEL TANK STEP",044-001-059,44,1,"Bracket - Step, Fuel Tank",1.0,HIGH
11-03942-0700,PETERBILT MOTORS CO,"STEP, FUEL TANK 700MM",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
11-04006-0800,PETERBILT MOTORS CO,"STEP, ALUMINIUM, FUEL TANK",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
11-04551-001,PETERBILT MOTORS CO,"STRAP ASSEMBLY, T-BOLT, 26""",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.1111111111111111,LOW
11-04555-1470,PETERBILT MOTORS CO,"STRAP, WEBBING, 90MM X 1470MM",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.1111111111111111,LOW
11-04802-019T024U,PETERBILT MOTORS CO,"TANK, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
11-04848-044T046U,PETERBILT MOTORS CO,FUEL TANK,044-001-001,44,1,Tank - Fuel,1.0,HIGH
118227,CUMMINS ENGINE CO,"DOWEL, FUEL PUMP",044-003-006,44,3,"Hardware, Mounting - Fuel Pump Assembly",0.3333333333333333,HIGH
2025-11-25 00:00:00,THERMO KING,PUMP PRIME,044-000-000,44,0,Fuel System,0.0,LOW
1200328,"GRAINGER, W.W., INC.","PUMP, SOLUTION ELECTRIC 36VDC",044-003-027,44,3,Pump - Luer Leea,0.16666666666666666,MEDIUM
120497,THERMO KING,"TANK, FUEL 30 GAL",044-001-001,44,1,Tank - Fuel,0.5,HIGH
12658353,ACDELCO,"HOSE, VAPOR CANISTER PURGE",044-016-008,44,16,Lines - Fuel. Evaporative Emission Control,0.0,LOW
128229,CROWN,SIGNAL ELECTRONIC CONTINUOUS/P,044-007-047,44,7,Inrottle Control Assembly - Electronic,0.14285714285714285,LOW
134030,WILLIAMS CONTROLS,THROTTLE  POSITION SENSOR,044-007-048,44,7,Sensor - Throttle Plate Position (TPS),0.6,HIGH
134275W1L,"PACCAR, INC.",PEDAL SENSOR KIT,044-007-110,44,7,"Sensor - Position, Accelerator Pedal",0.4,HIGH
15-50568,ACDELCO,"VALVE, PURGE, CANISTER",044-016-011,44,16,Purge Valve - Evaporative Canister,0.75,HIGH
1655115PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
1698250C1,NAVISTAR,"GASKET, FILTER, FUEL, KIT",044-002-035,44,2,Seal Kit - Separator,0.16666666666666666,MEDIUM
1781937PE,KENWORTH TRUCK CO,"HOSE, COMPRESSOR- COOLANT SUPP",044-010-066,44,10,"Hose - Coolant, Vaporizer",0.4,HIGH
180107,PAI PARTS,"PUMP, FUEL, MECHANICAL",044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
1812348C1,INTERNATIONAL,"SLEEVE, COMPRESSION FITTING FU",044-003-000,44,3,Fuel Pump,0.0,LOW
18-1685,IMPORT DIRECT INJCTN,"SWITCH, FUEL CUT OFF",044-000-000,44,0,Fuel System,0.2,MEDIUM
1820478C1,INTERNATIONAL,"BALL, CHECK VALVE",044-001-014,44,1,,0.0,LOW
1824908C1,INTERNATIONAL,"O-RING, INJECTION HARNESS",044-004-009,44,4,O-Ring - Injector Fuel Passage,0.2857142857142857,MEDIUM
1830669C92,INTERNATIONAL,"SENSOR, INJECTOR CONTROL PRESS",044-014-000,44,14,Injectors - Electronic,0.0,LOW
1830742C92,INTERNATIONAL,"KIT, SEALS, INJECTOR",044-004-024,44,4,Seal Injector Cup,0.2,MEDIUM
1841217C91,INTERNATIONAL,"KIT, FUEL PRESSURE REGULATOR",044-003-255,44,3,Regulator - Fuel Pressure,0.75,HIGH
1842624C92,INTERNATIONAL,"KIT, INJECTOR SEAL",044-014-000,44,14,Injectors - Electronic,0.0,LOW
1842721C91,NAVISTAR,"PUMP,KIT HIGH PRESS PUMP OIL",044-003-000,44,3,Fuel Pump,0.16666666666666666,MEDIUM
1873906C1,NAVISTAR,"GASKET, PUMP, FUEL",044-003-009,44,3,Gasket - Fuel Pump Flange Or Adapter,0.5,HIGH
1875784C93,INTERNATIONAL,"SENSOR, ICP CONTROL - INJECTIO",044-014-000,44,14,Injectors - Electronic,0.0,LOW
1886075PE,"PACCAR, INC.","VALVE, AIR, SHUT OFF",044-008-002,44,8,"Solenoid - Engine Shutdown Valve, Electric",0.125,LOW
1889325C95,INTERNATIONAL,"KIT, IPR VALVE",044-014-003,44,14,Valve - Injection Pressure Regulator (IPR),0.3333333333333333,HIGH
1890253C96,INTERNATIONAL,FUEL PUMP KIT,044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
1890254C95,NAVISTAR,"HOUSING, ASSY, FILTER, FUEL",044-002-092,44,2,Housing - Fuel Filter,0.75,HIGH
1890254C96,NAVISTAR,"HOUSING, FILTER, FUEL",044-002-092,44,2,Housing - Fuel Filter,1.0,HIGH
1893801C94,INTERNATIONAL,FUEL PRESSURE REGULATOR,044-000-000,44,0,Fuel System,0.25,MEDIUM
1899335C91,NAVISTAR,"FUEL PUMP, KIT",044-000-000,44,0,Fuel System,0.25,MEDIUM
1904646PE,PETERBILT MOTORS CO,"PIPE, FUEL, HIGH PRESSURE",044-003-217,44,3,"Line - Fuel, high Plessure",0.3333333333333333,HIGH
191680035,GENERAL MOTORS CORP,FUEL PRESSURE SENSOR,044-001-129,44,1,"Sensor - Vacuum, Fuel Tank",0.4,HIGH
19208483,GENERAL MOTORS CORP,"SENSOR,FUEL,LEVEL",044-001-100,44,1,Gasket - Filler Neck Fuel Tank,0.14285714285714285,LOW
19209603,GENERAL MOTORS CORP,"SENSOR, FUEL LEVEL",044-001-038,44,1,Leveling Valve - Fuel Tanks,0.16666666666666666,MEDIUM
19257603,GENERAL MOTORS CORP,"VAPOR,CANISTER,VENT,HARNESS",044-016-012,44,16,Vent Valve - Evaporative Canister,0.3333333333333333,HIGH
19259309,GENERAL MOTORS CORP,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
19370402,GENERAL MOTORS CORP,"PUMP, FUEL",044-003-001,44,3,Fuel Pump Assembly,0.6666666666666666,HIGH
1R-0749,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",044-002-003,44,2,"Clamp - Mounting, Filter Assembly",0.16666666666666666,MEDIUM
1R-0750,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",044-002-003,44,2,"Clamp - Mounting, Filter Assembly",0.16666666666666666,MEDIUM
20395028,VOLVO,"FITTING, FUEL LINE - STRAIGHT,",044-001-033,44,1,"Fitting - Male Connector, Compression, Fuel",0.2857142857142857,MEDIUM
20560284,VOLVO,"VENT, FUEL TANK",044-001-052,44,1,Hose - Vent Pipe,0.2,MEDIUM
20592119,VOLVO,CAP,044-012-021,44,12,Cap - Gaseous Fuel Tank,0.25,MEDIUM
20770657,VOLVO,"CAP, FUEL TANK, VOLVO",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.5,HIGH
20770677,VOLVO,CAP-FUEL TANK,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.6,HIGH
20884328,VOLVO,"VALVE, CHECK FUEL",044-001-077,44,1,Check Valve - FuelCheck Valve - Fuel Filter/Water Separator,0.42857142857142855,HIGH
20915842,GENERAL MOTORS CORP,"FUEL,TANK,FILLER,CAP",044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.5,HIGH
20915987,ACDELCO,"CAP, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
20923886,GENERAL MOTORS CORP,FUEL CAP,044-001-000,44,1,"Tank - Fuel, Liquid",0.25,MEDIUM
